Question,ResultId,ResultScore,ResultURL,ResultTitle,ResultRank,ResultText,Score
Who is Oliver Cowdery?,e01f337d61665eff8e894b9ff36ba7a64165dec351d3d5656f3955ddf7e19f03,0.803557,https://knowhy.bookofmormoncentral.org/knowhy/how-important-was-oliver-cowdery-in-bringing-forth-the-book-of-mormon#,How Important was Oliver Cowdery in Bringing Forth the Book of Mormon?,1,"Worth More Than Its Weight in Gold via lds.org

""But the book shall be delivered unto a man, and he shall deliver the words of the book, which are the words of those who have slumbered in the dust, and he shall deliver these words unto another""# 2 Nephi 27:9",0.0
Who is Oliver Cowdery?,168c5a73dd48acca4949eac8768f17d05b45dfe961def6f8d7aff6790628d5e0,0.799905539,https://knowhy.bookofmormoncentral.org/knowhy/how-important-was-oliver-cowdery-in-bringing-forth-the-book-of-mormon#,How Important was Oliver Cowdery in Bringing Forth the Book of Mormon? / Further Reading,2,"Michael Hubbard MacKay and Gerrit J. Dirkmaat, *From Darkness unto Light: Joseph Smith's Translation and Publication of the Book of Mormon* (Salt Lake City and Provo, UT: Deseret Book and Religious Studies Center, Brigham Young University, 2015), 119–139.

Richard Lloyd Anderson, ""Cowdery, Oliver,"" in *Doctrine and Covenants Reference Companion*, ed. Dennis L. Largey and Larry E. Dahl (Salt Lake City, UT: Deseret Book, 2012), 126–128.

Larry E. Morris, ""The Conversion of Oliver Cowdery,"" *Journal of Book of Mormon Studies* 16, no. 1 (2007): 4–17, 81–83.

John W. Welch and Larry E. Morris, eds., *Oliver Cowdery: Scribe, Elder, Witness* (Provo, UT: BYU Studies and Neal A. Maxwell Institute for Religious Scholarship, 2006).",0.0
Who is Oliver Cowdery?,a6033aab58e65c2ebd945c235b06de9217fd9c0b84ad07930f2da98233f15b4c,0.786220729,https://knowhy.bookofmormoncentral.org/knowhy/how-important-was-oliver-cowdery-in-bringing-forth-the-book-of-mormon#,How Important was Oliver Cowdery in Bringing Forth the Book of Mormon? / The Why,3,"Oliver Cowdery Engraving, H.B. Hall & Sons from an a daguerreotype by an unknown photographer.",0.0
Who is Oliver Cowdery?,6f500ded9510eabecb2ee9532c148bffbdcacfe9a801f06662c90c3c5778ef8c,0.78541559,"https://eom.byu.edu/index.php?title=Cowdery,_Oliver#","Cowdery, Oliver",4,"Jessee, Dean C. ""Joseph Knight's Recollection of Early Mormon History."" *BYU Studies* 17 :36.

Morris, Larry E. ""Oliver Cowdery's Vermont Years and the Origins of Mormonism."" *BYU Studies* 39:1 (2000):106-129.",0.0
Who is Oliver Cowdery?,e4b595a8d8153081672d600e9f00ea7c74a02d30ebc5dab5e1748503c6265609,0.780672789,https://knowhy.bookofmormoncentral.org/knowhy/how-important-was-oliver-cowdery-in-bringing-forth-the-book-of-mormon#,How Important was Oliver Cowdery in Bringing Forth the Book of Mormon? / The Why,5,"Except for Joseph Smith, few others were as crucial to the coming forth of the Book of Mormon and the restoration of the gospel as Oliver Cowdery.16 According to Larry E. Morris, ""Oliver is rightly described as the cofounder of Mormonism.""17

After the loss of the 116 pages in 1828, the work on the translation of the Book of Mormon had only been done in fits and starts before Oliver came onto the scene, and once he arrived, it progressed at an unprecedented pace. In later years, Oliver fondly reflected on his time as a scribe for Joseph Smith. ""These were days never to be forgotten,"" he said, ""to sit under the sound of a voice dictated by the inspiration of heaven, awakened the utmost gratitude of this bosom!""18: 14."")",2.0
Who is Oliver Cowdery?,79a0b877a69e5141e99325d6a91585497a88ce30822600b9d6763fa9f058a36b,0.779949427,"https://eom.byu.edu/index.php?title=Cowdery,_Oliver#","Cowdery, Oliver",6,"Oliver came from a New England family with strong traditions of patriotism, individuality, learning, and religion. He was born at Wells, Vermont, on October 3, 1806. His younger sister gave the only reliable information about his youth: ""Oliver was brought up in Poultney, Rutland County, Vermont, and when he arrived at the age of twenty, he went to the state of New York, where his older brothers were married and settled&#133;. Oliver's occupation was clerking in a store until 1829, when he taught the district school in the town of Manchester"" (Lucy Cowdery Young to Andrew Jenson, March 7, 1887, Church Archives).",3.0
Who is Oliver Cowdery?,fd36467acb96a6d1856b4c9d37c9f43f186db4471ac2fa90d63648b7f6b69817,0.774507463,"https://eom.byu.edu/index.php?title=Cowdery,_Oliver#","Cowdery, Oliver",9,"Cannon, Donald Q., and Lyndon W. Cook. *Far West Record.* Salt Lake City, 1983.

Gunn, Stanley R. *Oliver Cowdery, Second Elder and Scribe.* Salt Lake City, 1962.

Hart, Edward L. ""James H. Hart's Contribution to Our Knowledge of Oliver Cowdery and David Whitmer."" *BYU Studies* 36:4 (1996-97):119-124

Holzapfel, Richard Neitzel and Robert F. Schwartz. ""The Dedication of the Oliver Cowdery Monument in Richmond, Missouri, 1911."" *BYU Studies* 44:3 (2005):99-121.",0.0
Who is Oliver Cowdery?,e3ad8b87edfdf9fdb45605da2bc87aa27966782672513ae75a886e397a244948,0.770955622,"https://eom.byu.edu/index.php?title=Cowdery,_Oliver#","Cowdery, Oliver",10,"Anderson, Richard L. ""The Second Witness of Priesthood Restoration."" *IE* 71 (Sept. 1968):15-24; and 71 (Nov. 1968):14-20.

Anderson, Richard L. *Investigating the Book of Mormon Witnesses.* Salt Lake City, 1981.

Arrington, Leonard J. ""Oliver Cowdery's Kirtland, Ohio, 'Sketch Book.'"" *BYU Studies* 12 (Summer 1972):410-26.

Bishop, Patrick A. ""An Original Daguerreotype of Oliver Cowdery Identified."" *BYU Studies* 45:2 (2006):101-111.",0.0
Who is Oliver Cowdery?,db5cad119384d89899b829bf92373e9178f9e2818564e5cb616fb15a297ccaca,0.770384669,https://knowhy.bookofmormoncentral.org/knowhy/how-important-was-oliver-cowdery-in-bringing-forth-the-book-of-mormon#,How Important was Oliver Cowdery in Bringing Forth the Book of Mormon? / The Know,11,"While most Latter-day Saints know certain things about Oliver Cowdery, few may fully realize just how important he was to the coming forth of the Book of Mormon. In September 1828, Oliver Cowdery arrived in the Palmyra, New York area to teach school, where he stayed with the Joseph Smith Sr. family. While there, he heard rumors about the ""gold Bible"" and Joseph Smith's visions. Before he ever met Joseph Smith, Oliver became convinced the story was true and received revelation that he needed to assist Joseph (Doctrine and Covenants 6:14–24).1, 1:335; Richard Lloyd Anderson, ""Cowdery, Oliver,"" in Encyclopedia of Latter-day Saint History, ed. Arnold K. Garr, Donald Q. Cannon, and Richard O. Cowen (Salt Lake City, UT: Deseret Book, 2000), 260; Richard Lloyd Anderson, ""Cowdery, Oliver,"" in Doctrine and Covenants Reference Companion, ed. Dennis L. Largey and Larry E. Dahl (Salt Lake City, UT: Deseret Book, 2012), 126; Jeffrey G. Cannon, ""Oliver Cowdery's Gift,"" in Revelations in Context, December 15, 2012, online at history.lds.org. See also, Larry E. Morris, ""The Conversion of Oliver Cowdery,"" Journal of Book of Mormon Studies 16, no. 1 (2007): 8–11; Michael Hubbard MacKay and Gerrit J. Dirkmaat, From Darkness unto Light: Joseph Smith's Translation and Publication of the Book of Mormon (Salt Lake City and Provo, UT: Deseret Book and Religious Studies Center, Brigham Young University, 2015), 112–114."")",2.0
Who is Oliver Cowdery?,ded31da96a22c93962d20a5d62603e40c2fc3587e40398ef58cf1773dcca6aed,0.770203829,https://doctrineandcovenantscentral.org/people-of-the-dc/oliver-cowdery/#,Oliver Cowdery,12,"Oliver's sacrifice to share the message of the Restoration from New York to the western frontier of the United States bespeaks his commitment to the Lord. Of Oliver's ability to stir the hearts of men to greater good Wilford Woodruff wrote, ""I have seen Oliver Cowdery when it seemed as though the earth trembled under his feet. I never heard a man bear a stronger testimony than he did when under the influence of the Spirit.""2 No wonder on December 5, 1834 Oliver was ordained an assistant to the Prophet Joseph. On that occasion Joseph said, ""I lay my hands upon thee and ordain thee an assistant-president to the High and Holy Priesthood, in the Church of the Latter-day Saints.""3 On April 3, 1836 Oliver was with Joseph as priesthood keys were received from ancient prophets Elijah, Elias, and Moses in the Kirtland Temple.

Although Oliver stands alone as the contemporary who received many glorious manifestations with the Prophet Joseph Smith, nine formal charges were drawn against him on April 7, 1838 before the Far West high council, including the charge that he urged vexatious law suits be brought against the Saints and the charge that he sought to destroy the character of the Prophet Joseph. Oliver refused to attend the high council meeting when the charges were discussed. ""*Give me my freedom or take my life!*"" he wrote. ""I shall no longer be bound by the chains of hell. I shall speak out when I see a move to deceive the ignorant.""4 After deliberating on the charges against Oliver, the Far West high council excommunicated him on April 12, 1838.

Although Oliver had lost fellowship with the Saints, Joseph Smith continued to reach out to him and encouraged the Quorum of the Twelve to do the same: ""Write to Oliver Cowdery and ask him if he has not eaten husks long enough? If he is not almost ready to return, be clothed with robes of righteousness, and go up to Jerusalem?""5 For years, Oliver rejected their entreaties.",3.0
Who is Oliver Cowdery?,de67bec5223a30eb26f89ece7a29e1422555560678e0fa774c98b0e038d4e450,0.766818166,"https://eom.byu.edu/index.php?title=Cowdery,_Oliver#","Cowdery, Oliver",13,"See this page in the original 1992 publication.

Author: Anderson, Richard Lloyd",0.0
Who is Oliver Cowdery?,fe09257ee89864d62b89db48cc6ff2b8b87b651773255713f7f090c60bf26f54,0.766364634,https://knowhy.bookofmormoncentral.org/knowhy/why-was-oliver-cowdery-excommunicated-from-the-church#,Why Was Oliver Cowdery Excommunicated from the Church?,14,"Portrait of Oliver Cowdery. Landscape of Far West by Al Rounds.

""And to Oliver Cowdery, who was also called of God, an apostle of Jesus Christ, to be the second elder of this church, and ordained under his hand"" # Doctrine and Covenants 20:3",0.0
Who is Oliver Cowdery?,6e5f95157621986b7c34526e457d8ba7594007ec7870c5e9ce127700439f8a02,0.763211966,https://knowhy.bookofmormoncentral.org/knowhy/how-important-was-oliver-cowdery-in-bringing-forth-the-book-of-mormon#,How Important was Oliver Cowdery in Bringing Forth the Book of Mormon? / The Know,15,"Once school ended that spring, Oliver departed with the Prophet's younger brother Samuel for Harmony, Pennsylvania, where Joseph and Emma were living. Traveling in early April, they endured cold, wet, and muddy conditions as they made most of the 130-mile trip on foot.2, 126."") On April 7, 1829, two days after Oliver met Joseph Smith for the first time, the translation was in full swing with Oliver as scribe.3, 44–45; excerpted from John W. Welch, ""The Miraculous Translation of the Book of Mormon,"" in Opening the Heavens: Accounts of Divine Manifestations, 1820–1844 (Provo, UT: BYU Press, 2005), 90–91."")

Painting of Book of Mormon translation by Anthony Sweat

With Oliver's help, ""the pace of translation was faster than it had ever been before.""4 Between April 7 and the end of June, 1829, Oliver served as the primary scribe while Joseph translated at an astonishing pace.5,"" KnoWhy 273 (February 10, 2017)."") Available manuscript evidence confirms that Oliver served as scribe for most of the translation process.6, 125: ""Oliver Cowdery was the scribe for nearly all the extant portions of the original manuscript."""") His handwriting is clear, accurate, and professional, as one would expect from a school teacher.",1.0
Who is Oliver Cowdery?,b221f5235c5a3acb4835b71007d89fae3e8b030fe9688628aeeb89c9356d98a9,0.762719095,https://evidencecentral.org/recency/evidence/oliver-cowdery#,Book of Mormon Evidence: Oliver Cowdery / ABSTRACT,16,"Throughout his life, Oliver Cowdery consistently testified that he saw an angel which showed him the golden plates of the Book of Mormon

---",1.0
Who is Oliver Cowdery?,aa951363e8361626636a8c4df3b79bf2e217a1379c1cbcd9eee03b7d831730f9,0.76072,https://knowhy.bookofmormoncentral.org/knowhy/how-are-oliver-cowderys-messenger-and-advocate-letters-to-be-understood-and-used#,How Are Oliver Cowdery’s Messenger and Advocate Letters to Be Understood and Used? / Further Reading,17,"John W. Welch, ""Oliver Cowdery as Editor, Defender, and Justice of the Peace in Kirtland,"" in *Days Never to Be Forgotten: Oliver Cowdery*, ed. Alexander L. Baugh (Provo, UT: Religious Studies Center, Brigham Young University, 2009), 255–77.

Roger Nicholson, ""The Cowdery Conundrum: Oliver's Aborted Attempt to Describe Joseph Smith's First Vision in 1834 and 1835,""*Interpreter: A Journal of Mormon Scripture* 8 (2014): 27–44.

Book of Mormon Central, ""Where Did the Book of Mormon Happen?,"" *KnoWhy* 431 (May 8, 2018).",0.0
Who is Oliver Cowdery?,89d7d82c21219cfe655f7feb42d56e845f6e5c092cfde6a4133fabf2c50e1916,0.759216487,https://knowhy.bookofmormoncentral.org/knowhy/why-did-oliver-cowdery-come-back-to-the-church#,Why Did Oliver Cowdery Come Back to the Church?,19,"Oliver and Joseph by Vernon Murdock.

And to Oliver Cowdery, who was also called of God, an apostle of Jesus Christ, to be the second elder of this church, and ordained under his hand# Doctrine and Covenants 20:3",0.0
How do the Bible and Book of Mormon work together?,fb0bbbc19319a2cb83dc22f7e6483d2163fc928669e596ae94f62f8eb56411ec,0.92161566,https://www.churchofjesuschrist.org/study/general-conference/2007/10/scriptural-witnesses?lang=eng#p8,Scriptural Witnesses,1,"## Scriptures Testify of Jesus Christ

The Bible and the Book of Mormon are both witnesses of Jesus Christ. They teach that He is the Son of God, that He lived an exemplary life, that He atoned for all mankind, that He died upon the cross and rose again as the resurrected Lord. They teach that He is the Savior of the world.

Scriptural witnesses authenticate each other. This concept was explained long ago when a prophet wrote that the Book of Mormon was ""written for the intent that ye may believe [the Bible]; and if ye believe [the Bible] ye will believe [the Book of Mormon] also.""6 Each book refers to the other. Each book stands as evidence that God lives and speaks to His children by revelation to His prophets.7

Love for the Book of Mormon expands one's love for the Bible and vice versa. Scriptures of the Restoration do not compete with the Bible; they complement the Bible. We are indebted to martyrs who gave their lives so that we could have the Bible. It establishes the everlasting nature of the gospel and of the plan of happiness. The Book of Mormon restores and underscores biblical doctrines such as tithing,8 the temple,9 the Sabbath day,10 and the priesthood.11

An angel proclaimed that the Book of Mormon12 shall establish the truth of the Bible.13 He also revealed that writings in the Bible available in our day are not as complete as they were when originally written by prophets and apostles.14 He declared that the Book of Mormon shall restore plain and precious things taken away from the Bible.15",3.0
How do the Bible and Book of Mormon work together?,36d5be4d8fbfe814f6b6f2898aa11492272fd21f5917725a4de1ec1bd00d23d7,0.901309311,https://www.churchofjesuschrist.org/study/general-conference/1999/10/a-testimony-of-the-book-of-mormon?lang=eng#p23,A Testimony of the Book of Mormon,2,"This unique mortal mission of the Lord—the *gospel* as He defined it—we know as the Atonement. The *fulness* of the gospel, therefore, connotes a fuller comprehension of the Atonement.22 This we do not obtain from the Bible alone. The word *atonement,* in any of its forms, is mentioned only once in the King James Version of the New Testament.23 In the Book of Mormon, it appears 39 times The Book of Mormon also contains more references to the Resurrection than does the Bible.25

The Savior referred to the Book of Mormon as His ""new covenant"" with the house of Israel.26 It is a tangible sign of Christ's culminating covenant with mankind.27 The divine teachings of this book, as a third testament, clarify doctrine and unify the Old Testament with the New Testament. Scriptural covenants,28 testaments,29 and witnesses30 since the beginning of time relate to the Atonement of Jesus Christ, the central act of all human history.

The Book of Mormon is the most important religious text to be revealed from God to man ""since the writings of the New Testament were compiled nearly two millennia ago.""31 Joseph Smith declared the Book of Mormon to be ""the most correct of any book on earth, and the keystone of our religion.""32 It is the only book that the Lord Himself has testified to be true.33",3.0
